feature,enrich_group,ef_lda,pvalue,padj
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Croceimarina,healthy,0.03432314,0.5642925,0.5642925
k__Bacteria|p__Verrucomicrobia|c__[Spartobacteria]|o__[Chthoniobacterales]|f__zEL20|g__un_f__zEL20|s__un_f__zEL20,healthy,0.03276377,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__luteciae,healthy,0.03248925,0.5642925,0.5642925
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Dethiosulfovibrionaceae|g__Jonquetella,healthy,0.03247596,0.5642925,0.5642925
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halococcus,healthy,0.03244248,0.5642925,0.5642925
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Dethiosulfovibrionaceae|g__Jonquetella|s__anthropi,healthy,0.03220943,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_f__Clostridiaceae|s__tertium,healthy,0.03197768,0.5642925,0.5642925
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Vestibaculum|s__illigatum,healthy,0.03194362,0.5642925,0.5642925
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halococcus|s__hamelinensis,healthy,0.03184255,0.5642925,0.5642925
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Croceimarina|s__litoralis_g__Croceimarina,healthy,0.03179928,0.5642925,0.5642925
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Vestibaculum,healthy,0.03177238,0.5642925,0.5642925
k__Bacteria|p__Verrucomicrobia|c__[Spartobacteria]|o__[Chthoniobacterales]|f__zEL20,healthy,0.03164502,0.5642925,0.5642925
k__Bacteria|p__Verrucomicrobia|c__[Spartobacteria]|o__[Chthoniobacterales]|f__zEL20|g__un_f__zEL20,healthy,0.03133778,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae,healthy,0.03090946,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia|s__ruminantium_g__Ehrlichia,healthy,0.0303809,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__thailandensis,healthy,0.03011196,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia,healthy,0.02971956,0.5642925,0.5642925
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halolamina,healthy,0.02785235,0.5642925,0.5642925
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halolamina|s__un_g__Halolamina,healthy,0.02775959,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__vulneris,healthy,0.02771613,0.5642925,0.5642925
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Desulfurobacteriaceae|g__Thermovibrio,healthy,0.02724618,0.5642925,0.5642925
k__Bacteria|p__Aquificae|c__Aquificae,healthy,0.02720588,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia|s__niabensis,healthy,0.02712793,0.5642925,0.5642925
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales,healthy,0.0270796,0.5642925,0.5642925
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Desulfurobacteriaceae|g__Thermovibrio|s__guaymasensis,healthy,0.02698686,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Chryseomicrobium,healthy,0.02698676,0.5642925,0.5642925
k__Bacteria|p__Aquificae,healthy,0.02681223,0.5642925,0.5642925
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Desulfurobacteriaceae,healthy,0.02673966,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halothermothrix,healthy,0.02666369,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halothermothrix|s__orenii,healthy,0.02650987,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Chryseomicrobium|s__imtechense,healthy,0.02602481,0.5642925,0.5642925
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Lutibacter,healthy,0.02556807,0.5642925,0.5642925
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Lutibacter|s__litoralis_g__Lutibacter,healthy,0.02496539,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nakamurellaceae|g__Humicoccus|s__flavidus,healthy,0.02479113,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nakamurellaceae,healthy,0.02473711,0.5642925,0.5642925
k__Bacteria|p__Cyanobacteria|c__Nostocophycideae,healthy,0.02454625,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nakamurellaceae|g__Humicoccus,healthy,0.02451835,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Ammoniphilus|s__oxalaticus,healthy,0.02449641,0.5642925,0.5642925
k__Bacteria|p__Cyanobacteria|c__Nostocophycideae|o__Stigonematales|f__Rivulariaceae|g__Calothrix,healthy,0.02407689,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Ammoniphilus,healthy,0.02400053,0.5642925,0.5642925
k__Bacteria|p__Cyanobacteria|c__Nostocophycideae|o__Stigonematales|f__Rivulariaceae|g__Calothrix|s__un_g__Calothrix,healthy,0.02395587,0.5642925,0.5642925
k__Bacteria|p__Cyanobacteria|c__Nostocophycideae|o__Stigonematales|f__Rivulariaceae,healthy,0.02389866,0.5642925,0.5642925
k__Bacteria|p__Cyanobacteria|c__Nostocophycideae|o__Stigonematales,healthy,0.02389257,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Zymophilus,healthy,0.02347236,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Zymophilus|s__paucivorans_g__Zymophilus,healthy,0.02345364,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halanaerobium,healthy,0.02245598,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halanaerobium|s__un_g__Halanaerobium,healthy,0.02184863,0.5642925,0.5642925
k__Bacteria|p__Spirochaetes|c__Spirochaetes|o__Sphaerochaetales|f__Sphaerochaetaceae,healthy,0.02116545,0.5642925,0.5642925
k__Bacteria|p__Spirochaetes|c__Spirochaetes|o__Sphaerochaetales|f__Sphaerochaetaceae|g__Sphaerochaeta|s__un_g__Sphaerochaeta,healthy,0.02104372,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Salsuginibacillus|s__halophilus_g__Salsuginibacillus,healthy,0.0209957,0.5642925,0.5642925
k__Bacteria|p__Spirochaetes|c__Spirochaetes|o__Sphaerochaetales|f__Sphaerochaetaceae|g__Sphaerochaeta,healthy,0.02093164,0.5642925,0.5642925
k__Bacteria|p__Spirochaetes|c__Spirochaetes|o__Sphaerochaetales,healthy,0.02092734,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Alicyclobacillus|s__un_g__Alicyclobacillus,healthy,0.02080042,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae,healthy,0.02024403,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Alicyclobacillus,healthy,0.01982737,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Xanthobacter|s__flavus,healthy,0.019616,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Yaniellaceae|g__Auritibacter,healthy,0.01944574,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Yaniellaceae|g__Auritibacter|s__ignavus,healthy,0.01941537,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Yaniellaceae,healthy,0.01923578,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Micromonospora,healthy,0.01918793,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Micromonospora|s__brunnescens,healthy,0.01916253,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__paucivorans_g__Brevibacterium,healthy,0.01899566,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__un_g__Brevibacterium,healthy,0.01880464,0.5642925,0.5642925
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__mizutaii,healthy,0.01879966,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae,healthy,0.01871504,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Cryobacterium,healthy,0.01861914,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Cryobacterium|s__psychrophilum,healthy,0.01812161,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium,healthy,0.01710569,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium|s__chocolatum,healthy,0.01701416,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Actinomycetospora,healthy,0.0166644,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Actinomycetospora|s__un_g__Actinomycetospora,healthy,0.01654353,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Cronobacter|s__dublinensis,healthy,0.01648905,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae,healthy,0.01574784,0.5642925,0.5642925
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__reuteri,healthy,0.01215146,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Hydrogenophilus,healthy,0.01145292,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__MB-A2-108,healthy,0.0110152,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae|g__Hydrogenophilus|s__un_g__Hydrogenophilus,healthy,0.01096261,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__MB-A2-108|o__0319-7L14|f__un_o__0319-7L14,healthy,0.0107627,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__MB-A2-108|o__0319-7L14,healthy,0.01061237,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__MB-A2-108|o__0319-7L14|f__un_o__0319-7L14|g__un_o__0319-7L14,healthy,0.01060211,0.5642925,0.5642925
k__Bacteria|p__Actinobacteria|c__MB-A2-108|o__0319-7L14|f__un_o__0319-7L14|g__un_o__0319-7L14|s__un_o__0319-7L14,healthy,0.01052862,0.5642925,0.5642925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,hypertension,4.7354449,0.0009957897,0.0009957897
k__Bacteria|p__Proteobacteria,hypertension,4.72880908,0.002964936,0.002964936
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,hypertension,4.69971044,0.003381285,0.003381285
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,hypertension,4.69971044,0.003381285,0.003381285
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__coli,hypertension,4.62689951,0.04403962,0.04403962
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia,hypertension,4.62689694,0.04403962,0.04403962
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,hypertension,4.52172121,0.008360084,0.008360084
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,hypertension,4.52172121,0.008360084,0.008360084
k__Bacteria|p__Bacteroidetes,hypertension,4.39780633,0.3691567,0.3691567
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,hypertension,4.39521257,0.3765678,0.3765678
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,hypertension,4.39521257,0.3765678,0.3765678
k__Bacteria,hypertension,4.35537839,0.0004525054,0.0004525054
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__copri,hypertension,4.33237206,0.01568244,0.01568244
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,hypertension,4.29594449,0.8371688,0.8371688
k__Bacteria|p__Firmicutes|c__Clostridia,hypertension,4.29594133,0.8371688,0.8371688
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,hypertension,4.25803925,0.5403849,0.5403849
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_f__Clostridiaceae,hypertension,4.15624841,0.006193856,0.006193856
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,hypertension,4.1208568,0.1483114,0.1483114
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,hypertension,4.10436607,0.9215825,0.9215825
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__prausnitzii,hypertension,4.10436607,0.9215825,0.9215825
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_f__Clostridiaceae|s__celatum_g__Clostridium,hypertension,4.09468282,0.0118549,0.0118549
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger,hypertension,4.06437399,0.03216303,0.03216303
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__formicilis,hypertension,4.06437399,0.03216303,0.03216303
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__hormaechei,hypertension,3.99569521,0.002233267,0.002233267
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter,hypertension,3.99567465,0.002239711,0.002239711
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__un_g__Prevotella,hypertension,3.91466079,0.2391967,0.2391967
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus_f__Ruminococcaceae|s__un_g__Ruminococcus,hypertension,3.71841788,0.2247095,0.2247095
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__stercorea,hypertension,3.69210035,0.00343372,0.00343372
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39,hypertension,3.68730323,0.2261922,0.2261922
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39|f__un_o__RF39,hypertension,3.68730323,0.2261922,0.2261922
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39|f__un_o__RF39|g__un_o__RF39,hypertension,3.68730323,0.2261922,0.2261922
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39|f__un_o__RF39|g__un_o__RF39|s__un_o__RF39,hypertension,3.68730323,0.2261922,0.2261922
k__Bacteria|p__Tenericutes,hypertension,3.68719291,0.1791863,0.1791863
k__Bacteria|p__Tenericutes|c__Mollicutes,hypertension,3.68714302,0.1971262,0.1971262
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,hypertension,3.60169137,0.5576567,0.5576567
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,hypertension,3.5642029,0.3045507,0.3045507
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__aerofaciens,hypertension,3.54609697,0.3940468,0.3940468
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__SMB53,hypertension,3.52973213,0.04006908,0.04006908
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__SMB53|s__un_g__SMB53,hypertension,3.52973213,0.04006908,0.04006908
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__faecis,hypertension,3.52744244,0.5751928,0.5751928
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__parainfluenzae,hypertension,3.49617462,0.01341607,0.01341607
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,hypertension,3.49613251,0.01422598,0.01422598
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,hypertension,3.49607325,0.01446729,0.01446729
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,hypertension,3.49607325,0.01446729,0.01446729
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__un_g__Blautia,hypertension,3.44408727,0.1554681,0.1554681
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Ruminococcus],hypertension,3.40012339,0.001863036,0.001863036
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,hypertension,3.39394891,0.2227863,0.2227863
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus_f__Enterococcaceae|s__casseliflavus_g__Enterococcus_f__Enterococcaceae,hypertension,3.39372863,0.2820493,0.2820493
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus_f__Enterococcaceae,hypertension,3.39311754,0.2581513,0.2581513
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Ruminococcus]|s__gnavus,hypertension,3.39036324,0.00100192,0.00100192
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae],hypertension,3.36628583,0.8141723,0.8141723
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio,hypertension,3.3587519,0.5222197,0.5222197
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila,hypertension,3.32982617,0.9608797,0.9608797
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__un_g__Bilophila,hypertension,3.32982617,0.9608797,0.9608797
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella,hypertension,3.27808028,0.9278122,0.9278122
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2,hypertension,3.23832573,0.2143848,0.2143848
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2|f__un_o__YS2|g__un_o__YS2|s__un_o__YS2,hypertension,3.23420894,0.2143848,0.2143848
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2|f__un_o__YS2,hypertension,3.23139089,0.2143848,0.2143848
k__Bacteria|p__Cyanobacteria|c__4C0d-2,hypertension,3.22746319,0.2558612,0.2558612
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2|f__un_o__YS2|g__un_o__YS2,hypertension,3.22380154,0.2143848,0.2143848
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__un_g__Butyrivibrio,hypertension,3.21987864,0.5549832,0.5549832
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__un_f__Ruminococcaceae,hypertension,3.20545389,0.08193119,0.08193119
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__un_f__Ruminococcaceae|s__un_f__Ruminococcaceae,hypertension,3.20545389,0.08193119,0.08193119
k__Bacteria|p__Cyanobacteria,hypertension,3.20151316,0.8969366,0.8969366
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium_f__Lachnospiraceae|s__clostridioforme,hypertension,3.17326136,0.8822669,0.8822669
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__[Prevotella]|s__un_g__[Prevotella],hypertension,3.15582574,0.9722542,0.9722542
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__[Prevotella],hypertension,3.1552504,0.9171695,0.9171695
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_f__Clostridiaceae|s__perfringens,hypertension,3.15146377,0.8343258,0.8343258
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__umbonata,hypertension,3.15061185,0.3032546,0.3032546
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Cellulosibacter,hypertension,3.146031,0.9178039,0.9178039
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Cellulosibacter|s__alkalithermophilus,hypertension,3.146031,0.9178039,0.9178039
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae,hypertension,3.13809571,0.02910555,0.02910555
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio,hypertension,3.13610227,0.02264202,0.02264202
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinivibrio|s__un_g__Succinivibrio,hypertension,3.13278134,0.02264202,0.02264202
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,hypertension,3.12945685,0.01221009,0.01221009
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megasphaera,hypertension,3.12777237,0.1204493,0.1204493
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megasphaera|s__un_g__Megasphaera,hypertension,3.12777237,0.1204493,0.1204493
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__YRC22,hypertension,3.1092833,0.9747563,0.9747563
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__YRC22|s__un_g__YRC22,hypertension,3.09901457,0.9747563,0.9747563
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium_f__Clostridiaceae|s__un_g__Clostridium_g__Clostridium_f__Clostridiaceae,hypertension,3.04971251,0.8109169,0.8109169
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Clostridium_f__Ruminococcaceae,hypertension,3.04749492,0.002690873,0.002690873
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella|s__dispar,hypertension,3.02749577,0.08772476,0.08772476
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella,hypertension,3.02615564,0.08272314,0.08272314
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Clostridium_f__Ruminococcaceae|s__papyrosolvens,hypertension,2.97963758,0.1865987,0.1865987
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae]|g__un_f__[Barnesiellaceae],hypertension,2.9635247,0.6532977,0.6532977
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae]|g__un_f__[Barnesiellaceae]|s__un_f__[Barnesiellaceae],hypertension,2.9635247,0.6532977,0.6532977
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae],hypertension,2.95807533,0.581553,0.581553
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__inulinivorans,hypertension,2.89814349,0.240145,0.240145
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__profusa,hypertension,2.87952813,0.1141221,0.1141221
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Ruminococcus_f__Lachnospiraceae|s__lactaris,hypertension,2.86356797,0.08762989,0.08762989
