feature,enrich_group,ef_lda,pvalue,padj
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Marinilabiaceae|g__Cytophaga,healthy,2.89787071,0.8624068,0.8624068
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Marinilabiaceae|g__Cytophaga|s__xylanolytica,healthy,2.89314423,0.8624068,0.8624068
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_f__Bacteroidaceae|s__ovatus,healthy,2.87710907,0.03034617,0.03034617
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__uli,healthy,2.83442054,0.9235946,0.9235946
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium_f__Lachnospiraceae|s__citroniae,healthy,2.83354321,0.002803728,0.002803728
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia|s__p-1630-c5,healthy,2.83026718,0.1992729,0.1992729
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus_f__Ruminococcaceae|s__albus,healthy,2.82921153,0.0576914,0.0576914
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__Paraprevotella,healthy,2.82203192,0.1485019,0.1485019
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__Paraprevotella|s__un_g__Paraprevotella,healthy,2.82203192,0.1485019,0.1485019
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__un_f__Rikenellaceae|s__un_f__Rikenellaceae,healthy,2.79726017,0.04054835,0.04054835
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_f__Bacteroidaceae|s__plebeius,healthy,2.79586364,0.8211694,0.8211694
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__un_f__Rikenellaceae,healthy,2.79381701,0.04054835,0.04054835
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,healthy,2.79262794,0.2423236,0.2423236
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia,healthy,2.79259667,0.2781346,0.2781346
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,healthy,2.78895556,0.2323841,0.2323841
