,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
btn_m,-0.01724618851065284,-0.06288978039694178,0.028397403375636104,0.45895907353882603,-0.10174503270778029,0.06725265568647462,0.021284756500772946,6.654701478388158e-06,0.8749612922856814,1.091230091450963
but_m,0.03508408681066379,-0.02314825637992441,0.09331643000125198,0.23766310777957722,-0.05091555462338643,0.121083728244714,0.042088110222313714,5.921969964437088e-06,0.8749612922856814,1.0714447146106776
ca2_m,-0.061088161079654923,-0.10667462903893442,-0.015501693120375429,0.008628057391373666,-0.14764797285152764,0.02547165069221778,0.07167538780308702,0.02126363055826893,0.8749612922856814,1.0625586300190855
cellb_m,-0.08988433801916816,-0.1352933177085906,-0.04447535832974572,0.0001046152368697997,-0.16919111758196131,-0.010577558456375008,0.11254556181643556,0.06708589603368384,0.8749612922856814,1.1547285713220226
cellul_m,-0.043615177564224644,-0.10216256656766053,0.014932211439211238,0.14426665480995027,-0.12897555408902675,0.04174519896057746,0.05242860071489357,4.060622387257402e-06,0.8749612922856814,1.0789026789367144
cgly_m,0.0795003087773088,0.0033269307178677154,0.1556736868367499,0.04079899937163452,-0.005272184424910106,0.1642728019795277,0.09408720854539322,0.014380169514918316,0.8749612922856814,1.0826821063915861
chol_m,0.07585432677847385,0.01992035539993471,0.13178829815701298,0.00786090095468039,-0.008909070248470582,0.16061772380541828,0.08998544462199565,0.026109975071237107,0.8749612922856814,1.0832671208808395
chor_m,-0.06860060600073377,-0.13244555156324486,-0.004755660438222675,0.035208078076127275,-0.15307260170127787,0.015871389699810334,0.0820183891155475,0.016543676130729355,0.8749612922856814,1.0878508847481085
cit_m,-0.03950859892284995,-0.10096315258043764,0.02194595473473774,0.20765355247719808,-0.12447608316403583,0.045458885318335925,0.04782758067202246,4.764407103908048e-06,0.8749612922856814,1.084161022012163
cl_m,-0.07463977912606116,-0.13163135180750107,-0.017648206444621242,0.010261421965625886,-0.16048637096749302,0.01120681271537069,0.08754492771161146,0.022855627400451564,0.8749612922856814,1.0698631340004363
co2_m,-0.11495233166253684,-0.21730310550269782,-0.012601557822375861,0.02771640238754905,-0.20117834695855646,-0.028726316366517193,0.13099909305292567,0.02677986595649032,0.8749612922856814,1.0592120253102466
cobalt2_m,0.006061755668097211,-0.045908223005222654,0.05803173434141708,0.8191725605185617,-0.08043010487775627,0.09255361621395068,0.007361871426583204,4.423499358075672e-06,0.8749612922856814,1.0663026674788887
csn_m,-0.06761974211668459,-0.13925387511680334,0.004014390883434166,0.06429521586807661,-0.15105156271342163,0.015812078480052463,0.08186064132028271,0.0083577985908426,0.8749612922856814,1.101429602538664
cu2_m,-0.03501403624244103,-0.09063770109146996,0.020609628606587903,0.2172923671479472,-0.11814398383964134,0.04811591135475928,0.0434237385788807,4.799938688728645e-06,0.8749612922856814,1.1083641333356868
cys_L_m,-0.05712098803708496,-0.12403726129021389,0.009795285216043975,0.09431507552545954,-0.14469529045576868,0.030453314381598776,0.0664311597217823,0.0012082603369805017,0.8749612922856814,1.0506712273506353
