sample ID	load
MI_246_H	50530232022.76736
MI_247_H	66866657990.67385
MI_248_H	56520480944.46666
MI_249_H	63387673773.23045
MI_250_H	42087685598.614174
MI_251_H	50661112296.170135
MI_252_H	51792033425.27391
MI_253_H	34962153485.30881
MI_254_H	44899718087.07076
MI_255_H	57812916577.93182
MI_256_H	58921679298.66868
MI_257_H	62994146163.479195
MI_258_H	54875796447.192055
MI_259_H	47648902528.82437
MI_260_H	57821549980.51488
MI_261_H	30879806350.226376
MI_262_H	57683696787.48357
MI_263_H	60472914198.90148
MI_264_H	68059027977.39055
MI_265_H	63323815903.697815
MI_266_H	64436027960.13196
MI_267_H	57999328573.63736
MI_269_H	61234862752.00324
MI_270_H	49605294279.57823
MI_271_H	36945466070.70714
MI_273_H	56972690966.93379
MI_274_H	66763953439.31911
MI_275_H	26953160849.34944
MI_276_H	60766700682.46989
MI_277_H	36567565371.391304
MI_278_H	50747068250.56992
MI_279_H	55278662392.30203
MI_280_H	45980614186.67438
MI_281_H	52218106687.04075
MI_282_H	54056530425.597725
MI_283_H	61920553705.61561
MI_284_H	40324755871.70021
MI_285_H	64034866956.043274
MI_286_H	62065806304.18857
MI_287_H	57045549939.32757
MI_288_H	67512150613.41271
MI_289_H	62645279529.120155
MI_290_H	66936881291.21678
MI_291_H	69787042781.30594
MI_292_H	42373493279.064896
MI_293_H	59482246118.08781
MI_294_H	52190479349.96122
MI_295_H	60976159113.95187
MI_296_H	69326987419.56613
MI_297_H	30668290442.374863
MI_298_H	65079346592.69287
MI_299_H	61256919250.867294
MI_300_H	65512653106.851395
MI_301_H	46661189195.199455
MI_302_H	54407603802.19777
MI_303_H	54102369445.1175
MI_304_H	30298257756.50198
MI_305_H	56146526163.523094
MI_306_H	62648168435.282
MI_307_H	60713215361.373314
MI_308_H	61780931779.49034
MI_309_H	50904884080.81566
MI_310_H	60315096276.43261
MI_311_H	27924218378.017258
MI_312_H	64741390389.040405
MI_313_H	36620520924.687675
MI_314_H	61048373154.565475
MI_315_H	62007501025.45881
MI_316_H	58310412891.60632
MI_317_H	62633450160.34995
MI_318_H	57921435584.189026
MI_319_H	36231063115.671234
MI_320_H	67490361229.056145
MI_321_H	58152747214.1952
MI_322_H	56599597038.345795
MI_323_H	52919024717.377075
MI_324_H	29364528277.128815
MI_325_H	66854325107.27769
MI_326_H	51481346181.82354
MI_327_H	46375984715.20121
MI_328_H	64812939732.620636
MI_329_H	49176129199.232216
MI_330_H	45067149746.594894
MI_331_H	56086760855.82833
MI_332_H	65503590534.80545
MI_333_H	42745449914.30336
MI_334_H	68492016655.03031
MI_335_H	58846553342.79473
MI_336_H	33772077514.431557
MI_337_H	66207416138.0833
MI_338_H	34675737854.13873
MI_339_H	48325828244.43862
MI_340_H	51428692420.59896
MI_341_H	57474188363.661125
MI_342_H	34572486947.826355
MI_343_H	63204481277.20223
