,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
na1_m,-0.009138284781808018,-0.0917098466410485,0.07343327707743247,0.8282774312336184,-0.10272796287854523,0.0844513933149292,0.010240933047789757,4.799184662336499e-06,0.906136096453144,1.020519296663135
q8_m,-0.04202119807766526,-0.13171436139157439,0.04767196523624388,0.3584921546472768,-0.13016711735238204,0.04612472119705152,0.04900461136468847,6.331223596530833e-06,0.906136096453144,1.0822368645294036
zn2_m,-0.1086591840491689,-0.18064424255869932,-0.03667412553963846,0.0030913617693910955,-0.19964365867851985,-0.017674709419817955,0.11821204759473494,0.054847291601537146,0.906136096453144,1.0415752832030851
sheme_m,-0.052558518928152644,-0.12903518950880075,0.023918151652495452,0.17798558570457368,-0.14237951680216143,0.03726247894585615,0.05980724766635043,6.1886994182953375e-06,0.906136096453144,1.061377189760169
lys_L_m,-0.1092134856135121,-0.18056425587173258,-0.03786271535529162,0.002699524309933147,-0.2000823761725886,-0.018344595054435614,0.11891851582556741,0.05703975532367951,0.906136096453144,1.0427960436329944
dgsn_m,-0.08490703758574937,-0.15645804869846203,-0.013356026473036714,0.02002818280221673,-0.17481201485480108,0.004997939683302352,0.09471645958003252,0.029020251052416332,0.906136096453144,1.0571754911866704
acmana_m,-0.03232284456240446,-0.11336951692584425,0.04872382780103533,0.43440956066331016,-0.12340238543015873,0.05875669630534981,0.03671562979953913,5.832421300644762e-06,0.906136096453144,1.0479671882079566
pro_L_m,-0.06780417592844201,-0.1486957871369552,0.013087435280071155,0.10041151784990204,-0.1579474640442941,0.022339112187410096,0.07620610970016725,4.2774352609527565e-06,0.906136096453144,1.0562773672188481
man_m,0.0038516801055743437,-0.07715139427766304,0.08485475448881172,0.92574793284545,-0.09011430764655586,0.09781766785770453,0.0043097810630326125,4.77695286668256e-06,0.906136096453144,1.0164767261380945
mg2_m,-0.11332549802068867,-0.18184350887579248,-0.04480748716558487,0.0011882475529432152,-0.20430802695236683,-0.02234296908901051,0.12295875020803422,0.06516129740644706,0.906136096453144,1.040885121674672
cu2_m,-0.10794208131877905,-0.18028003801901088,-0.035604124618547214,0.0034485323147518086,-0.19912995103402947,-0.01675421160352865,0.11723491340284015,0.0536192886954707,0.906136096453144,1.0393943608312564
gthox_m,-0.0709617043296027,-0.15278806491595204,0.010864656256746624,0.08918249436940243,-0.16442915698093008,0.02250574832172468,0.07688994541240646,0.0025681036459744566,0.906136096453144,1.0186511651402286
phe_L_m,-0.11634066790455352,-0.17797931155758698,-0.05470202425152007,0.00021614401995546155,-0.20674485440200518,-0.025936481407101863,0.12676122103718718,0.07534210128300918,0.906136096453144,1.0469458180250972
ser_L_m,-0.1262152723083406,-0.18920590865860948,-0.0632246359580717,8.59373341786543e-05,-0.2163671619282189,-0.03606338268846229,0.13708804028930413,0.08364268395410222,0.906136096453144,1.0481391017597328
fol_m,-0.10665149754181474,-0.18118995437491095,-0.03211304070871854,0.005041568100907217,-0.1984510672008473,-0.014851927882782195,0.11519438280931227,0.04900232475448358,0.906136096453144,1.0327592881230723
amylose300_m,-0.019588036722866707,-0.1001122898822891,0.06093621643655569,0.6335232721001549,-0.11321767299473615,0.07404159954900272,0.021811531734828454,4.940453415199959e-06,0.906136096453144,1.0198898391683064
pullulan1200_m,-0.021331800207638602,-0.10970954959349509,0.06704594917821789,0.6361576027933428,-0.11766938044436324,0.07500578002908605,0.02307059971923574,4.8405343344170476e-06,0.906136096453144,0.9911928885295946
inulin_m,-0.10692233536349748,-0.17734299362715672,-0.03650167709983823,0.0029214241874089427,-0.19692861098635722,-0.016916059740637743,0.11762581606638273,0.05460045912642764,0.906136096453144,1.0529819184739118
arg_L_m,-0.10490936064424009,-0.17446801696184847,-0.035350704326631704,0.003116108925861777,-0.19610583856745042,-0.013712882721029745,0.11413064882939435,0.053981971318978306,0.906136096453144,1.0397393133836066
melib_m,0.00929036510958403,-0.0750505139784862,0.09363124419765426,0.8290695305967541,-0.07810159028556266,0.09668232050473072,0.011144468227599225,4.926991634295414e-06,0.906136096453144,1.0928824564875517
ttdca_m,-0.1102686277700319,-0.17781551442112942,-0.04272174111893437,0.001376218257680956,-0.2013108935275656,-0.019226362012498208,0.11978012628026725,0.06128379034896362,0.906136096453144,1.0406825075749453
lanost_m,-0.006238119104707965,-0.08785946886971653,0.0753832306603006,0.8809261736211461,-0.09923992923279755,0.08676369102338162,0.007046950707471432,4.75104308992866e-06,0.906136096453144,1.026998761919783
glyc3p_m,-0.11262207073252699,-0.17726511456874752,-0.047979026896306454,0.0006385737091725932,-0.20338068320750397,-0.021863458257549997,0.122527157147011,0.06747679119402786,0.906136096453144,1.0435194418874698
h_m,0.08407345769168167,0.0044180434298781435,0.1637288719534852,0.03857684813369475,-0.0077099347413482205,0.17585685012471158,0.09200496970832117,0.0194596753511579,0.906136096453144,1.0358408292027372
pheme_m,-0.0968824605435523,-0.16643959891136326,-0.02732532217574135,0.006334773446426558,-0.18593459710511134,-0.00783032398199325,0.10829166299516048,0.044910971225550024,0.906136096453144,1.065591485897587
malt_m,-0.003672493490692352,-0.07336877466186827,0.06602378768048357,0.917743902012277,-0.08969345987993343,0.08234847289854874,0.00448847714062677,4.9460413045536695e-06,0.906136096453144,1.1103591135263948
fum_m,-0.046600281040021035,-0.12728703606185146,0.03408647398180939,0.2576476390008051,-0.13707902387858273,0.043878461798540644,0.05283665715855963,6.229330926663698e-06,0.906136096453144,1.054111464792697
thr_L_m,-0.1102686277700319,-0.17781551442112942,-0.04272174111893437,0.001376218257680956,-0.2013108935275656,-0.019226362012498208,0.11978012628026725,0.06128379034896362,0.906136096453144,1.0406825075749453
raffin_m,-0.06635771415022904,-0.15872661379096772,0.026011185490509653,0.15912042998735887,-0.15681089494316164,0.02409546664270358,0.07439762432717137,3.7652011010813753e-06,0.906136096453144,1.052818929946736
2dmmq8_m,-0.07965753377589725,-0.157667210448367,-0.0016478571034274914,0.04535298576131768,-0.16760531763541697,0.008290250083622469,0.0910235265710962,0.01673486890832925,0.906136096453144,1.0811275232570046
indole_m,-0.04580806570687359,-0.12158750498835139,0.029971373574604214,0.23610342496387882,-0.13744323451216112,0.045827103098413945,0.05132392717648705,3.6545881730457024e-06,0.906136096453144,1.0408973227728828
