,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
inost[e],0.11262516388593691,0.04385220013813698,0.18139812763373683,0.0013286898049144533,0.025292335462174742,0.19995799230969907,0.1270107832604127,0.052320180081974095,0.906136096453144,1.083723917013014
cro4[e],0.10772472232380007,0.025283550930367604,0.19016589371723253,0.010435409888425515,0.02001748538248896,0.19543195926511117,0.12135735742509439,0.03971425996333786,0.906136096453144,1.0800084738958282
arabttr[e],0.10805655654052733,0.012444222113214262,0.2036688909678404,0.026756017112973728,0.018782264458348102,0.19733084862270656,0.11970675928688705,0.025616560980623166,0.906136096453144,1.0613031476196675
2ddglcn[e],-0.014995381390419386,-0.09395305742329943,0.06396229464246067,0.7097216897269565,-0.10521468900415795,0.07522392622331919,0.01736838703536549,4.9047328209656335e-06,0.906136096453144,1.058536999215392
bhb[e],0.070454173811412,-0.010994557591004414,0.15190290521382843,0.09000081345580309,-0.01645431101336345,0.15736265863618745,0.08187918568909332,0.0024734542984373264,0.906136096453144,1.0950403758731135
acgal[e],0.11887519577824483,0.0535540381731614,0.18419635338332827,0.0003612911587722692,0.030988937449985363,0.20676145410650432,0.13277463756175145,0.06671583488767484,0.906136096453144,1.0759231823946807
MGlcn38_rl[e],0.10512913909404506,0.030578285251027446,0.17967999293706266,0.005711921620910411,0.016750745476147147,0.193507532711943,0.11777351420711879,0.04281200213299079,0.906136096453144,1.0723550828929844
MGlcn74[e],0.13582772943091148,0.09747356222407964,0.1741818966377433,3.892489908229155e-12,0.04833576980360048,0.22331968905822247,0.15080141270054526,0.09825952553540647,0.906136096453144,1.0773715301515199
MGlcn88_rl[e],0.13468706496523514,0.0944125054164575,0.17496162451401276,5.5808221772837366e-11,0.04649250003188703,0.22288162989858323,0.14854097478696246,0.0884663507261557,0.906136096453144,1.069239483723658
MGlcn32[e],0.109810610855954,0.01657547401837653,0.20304574769353148,0.02097639090332631,0.021957617752832254,0.19766360395907576,0.12336100141984514,0.030469566897179754,0.906136096453144,1.0778998905435646
MGlcn78[e],0.1292641819100694,0.08368183174879759,0.17484653207134118,2.7266268369557094e-08,0.04208369879698076,0.216444665023158,0.14455557572013522,0.08933742646826497,0.906136096453144,1.0824611908586173
MGlcn60[e],0.12175695472054188,0.06837336374535638,0.17514054569572737,7.811967599844564e-06,0.03413831682791116,0.2093755926131726,0.13614359883026092,0.07798875870730461,0.906136096453144,1.0786134028609153
gal1a3acgal[e],0.1288514678547747,0.07020215365963575,0.18750078204991363,1.6622934944962935e-05,0.04103566911299267,0.21666726659655672,0.14316754216131378,0.0735451114504961,0.906136096453144,1.0748952904160944
MGlcn166[e],0.1089824482373277,0.02707691417244283,0.19088798230221254,0.009109881249737915,0.020535508333931307,0.19742938814072408,0.121722166834137,0.04016922846402576,0.906136096453144,1.0709192643355523
MGlcn39_rl[e],0.11831770925197796,0.06696454128854024,0.16967087721541568,6.309085629745981e-06,0.031322537281514795,0.20531288122244112,0.1334533575230042,0.07998732015417592,0.906136096453144,1.0868242733510383
cspg_c_rest[e],0.12663750784994945,0.06612396204388528,0.18715105365601364,4.102270661618374e-05,0.039767240475641674,0.21350777522425723,0.14231023510627158,0.06873518378200172,0.906136096453144,1.086759016042994
MGlcn157_rl[e],0.13125746303035493,0.09661025458398086,0.165904671476729,1.126723097361537e-13,0.04392289539964446,0.21859203066106542,0.1463702347900439,0.10132969584163684,0.906136096453144,1.080198032140217
MGlcn190_rl[e],0.1277819205743239,0.09284307826018581,0.16272076288846196,7.600051727016639e-13,0.04100818850415415,0.2145556526444936,0.14364423122214054,0.09520650033499128,0.906136096453144,1.0877118535168444
MGlcn129[e],0.13272369855646463,0.09464730310126854,0.1708000940116607,8.380427223708591e-12,0.045968439015118864,0.21947895809781037,0.14878294908782977,0.09843247328687241,0.906136096453144,1.0869299328795716
MGlcn54_rl[e],0.09616771077124132,0.011158064938712103,0.18117735660377055,0.026607930851289964,0.0067838287020390575,0.1855515928404436,0.10716170794674225,0.02518724571195723,0.906136096453144,1.0617881981962773
MGlcn62[e],0.11097986563397734,0.05742689211671107,0.16453283915124362,4.871499171890915e-05,0.02251554148077814,0.19944418978717654,0.12378314923836332,0.06816728789268293,0.906136096453144,1.0703840460470913
MGlcn60_rl[e],0.10644766896241376,0.04231956307260634,0.17057577485222117,0.0011403774969770597,0.017877350182104873,0.19501798774272264,0.11891515708715057,0.05265190999341531,0.906136096453144,1.0698591356614962
sT_antigen_rl[e],0.10008303070202701,0.015906246103818536,0.1842598153002355,0.019789061923573454,0.011523456129294826,0.18864260527475918,0.11224164296169865,0.02912910512089557,0.906136096453144,1.0709687983196647
MGlcn160_rl[e],0.12065043607111363,0.058643062845333334,0.18265780929689393,0.00013696430647473307,0.0328706970423748,0.20843017509985245,0.13476603143063193,0.06929163575553685,0.906136096453144,1.076879228519001
MGlcn81_rl[e],0.11199669131892558,0.03174774590541887,0.19224563673243228,0.006231273270865228,0.02331706971496847,0.20067631292288268,0.12455830529724465,0.043180389504779856,0.906136096453144,1.0676617859037598
MGlcn7[e],0.0964143486411089,0.035415023003730776,0.15741367427848701,0.0019490968725633193,0.010264792756216598,0.1825639045260012,0.11121634516556993,0.05185803963579649,0.906136096453144,1.1010777981990036
